id,freq,grammar,sv,wclass,example
2809,2682,en,önskan,noun-en,
2810,2681,en,konsert,noun-en,
2811,2680,en,teckning,noun-en,
2812,2674,att,avgå,verb,
2813,2673,en,grav,noun-en,
2814,2671,en,agenda,noun-en,
2815,2668,ett,samfund,noun-ett,
2816,2666,en,krets,noun-en,
2817,2664,,kunglig,adjective,
2818,2661,en,anmälan,noun-en,
2819,2661,att,inneha,verb,
2820,2658,en,soffa,noun-en,
2821,2658,,stabilitet,noun-en,
2822,2656,ett,förnuft,noun-ett,
2823,2654,,därav,adverb,
2824,2653,en,tredjedel,noun-en,
2825,2652,,ovanstående,adjective,
2826,2652,,trovärdig,adjective,
2827,2649,att,strunta,verb,e.g. strunta i
2828,2648,,akademisk,adjective,
2829,2648,,permanent,adjective,
2830,2645,,nyttig,adjective,
2831,2642,en,invändning,noun-en,
2832,2635,en,våning,noun-en,
2833,2634,,långsamt,adverb,
2834,2634,,vild,adjective,
2835,2632,,propaganda,noun-en,
2836,,,troende,adjective,
2837,2628,ett,exemplar,noun-ett,
2838,2627,en,resolution,noun-en,
2839,2626,,ekonomiskt,adverb,
2840,2625,,därpå,adverb,
2841,2625,en,formulering,noun-en,
2842,2623,,ihjäl,particle,
2843,2622,,såväl som,conj,
2844,2620,att,instämma,verb,
2845,2619,ett,halvår,noun-ett,
2846,2618,att,debattera,verb,
2847,2617,en,idiot,noun-en,
2848,2617,,yttersta,adjective,
2849,2616,,intill,prep,
2850,2614,,torr,adjective,
2851,2613,,söt,adjective,
2852,2612,en,socialist,noun-en,
2853,2611,att,anordna,verb,
2854,2609,,besviken,adjective,
2855,2609,en,lektion,noun-en,
2856,2606,,ledsen,adjective,
2857,2604,,grattis,interj,
2858,,,sistnämnd,adjective,
2859,2603,,tragisk,adjective,
2860,2602,en,teater,noun-en,
2861,2600,att,försäkra,verb,
2862,2600,ett,ideal,noun-ett,
2863,2600,,vice,adjective,
2864,2599,en,hantering,noun-en,
2865,2597,en,målsättning,noun-en,
2866,2596,att,begripa,verb,
2867,2592,ett,upphov,noun-ett,
2868,2590,att,kränka,verb,
2869,2589,,i morse (el. imorse),adverb,
2870,2588,en,hals,noun-en,
2871,2588,,mån,noun,e.g. i mån av
2872,2588,en,stam,noun-en,
2873,2584,,journalistik,noun-en,
2874,2583,en,intäkt,noun-en,
2875,2583,,mjuk,adjective,
2876,2580,,Bproper name (bruttonationalprodukt),noun-en,
2877,2580,,grå,adjective,
2878,2578,en,profil,noun-en,
2879,2576,att,krossa,verb,
2880,2576,en,partiledare,noun-en,
2881,2575,en,centimeter (förk. cm),noun-en,
2882,2575,att,övertyga,verb,
2883,2572,,romersk,adjective,
2884,2572,att,sörja,verb,
2885,2571,att,inspirera,verb,
