id,freq,grammar,sv,grammar2,fa,wclass,ex,fa_ex
87,2966316,,och,,و,conj,Jag och du,من و تو
88,2624032,att,vara,"är, var, varit",بودن,verb,"Peyman var pigg, nu är han trött.", پیمان هوشیار بود، حالا خسته‌ است
89,2197163,,i,,در,prep,Hur många dagar i veckan tränar du?,چند روز در هفته ورزش می‌کنی؟
90,1822142,att,ha,"har, hade, haft",داشتن,verb,Han har två systrar.,دو تا خواهر دارد
91,1816701,,dess,,مال او,pronoun,Vad tycker du om dess nya design? ,نظر تو در مورد طراحی جدید آن چیست؟
92,1662413,,det,,او (چیز),pronoun,Det röda huset,آن خانه سرخ
93,1654320,,en,,یک,det,Var du på sjukhuset i en vecka?,یک هفته بیمارستان بودی؟
94,1451792,,som,,که,pronoun,Det verkar som att det är fullt här.,بنظر می آید که شلوغ است
95,1435426,,på,,بر,prep,Newton upptäckte gravitationen när ett äpple föll på hans huvud.,ایزاک نیوتن با افتادن سیبی بر سرش جاذبه را کشف کرد
96,1420786,,å,,از,prep,å ena sidan…å andra sidan,از این طرف… از آن طرف
97,1315607,,av,,از,prep,Bordet är av trä.,میز از چوب ساخته شده است.
98,1300637,,för,,برای,prep,För att klara provet måste du studera.,برای قبولی در آزمون باید مطالعه کنی.
99,1284991,,att,,که,subj,Jag tycker att den här boken är intressant.,فکر می‌کنم که این کتاب جالبی است
100,1267606,att,kunna,"kan, kunde, kunnat",توانستن,verb,Jag kan göra det.,می‌توانم آن را انجام دهم
101,1186905,att,skola,"ska, skulle",خواستن,aux verb,Jag ska göra det.,آن کار را خواهم کرد
102,1070563,,jag,,من,pronoun,Följ med mig.,با من بیایی
103,1034410,,inte,,نه,adverb,Jag har inte gjort det. ,آن را انجام نداده‌ام
104,1002182,,med,,با,prep,Jag vill prata med Maryam.,می‌خواهم با مریم صحبت کنم
105,987570,,till,,به,prep,Jag ska till Stockholm.,به استکهلم می‌روم
106,986657,,liten,,‫کوچک‬,adjective,Vill du ha en liten kaka?,آیا یک بیسکویت کوچک می‌خواهید؟
107,786184,,den,,او (چیز),det,Den röda bilen,آن ماشین سرخ
108,719843,,ett,,یک,det,Köpte du ett nytt hus?,یک خانه جدیدی خریدی؟
109,,,analog,,,adjective,,
110,633759,att,unna,"unnar, unnade, unnat",,verb,e.g. unna sig,
111,601734,,om,,در مورد,prep,,
112,538500,,vi,,ما,pronoun,,
113,518253,,men,,اما,conj,,
114,506895,,man,,مرد,pronoun,,
115,505860,,de,,آنها,det,,
116,462896,att,få,"får, fick, fått",,verb,,
117,456578,,så,,,adverb,,
118,428910,,som,,,conj,,
119,395479,,sig,,,pronoun,,
120,385430,,han,,او,pronoun,,
121,381431,,de,,آنها,pronoun,,
122,375451,att,bli,,,verb,,
123,367629,att,komma,,,verb,e.g. komma fram/ihåg/in/ner/tillbaka/ut/överens,
124,367250,,det,,,det,,
125,366781,,sin,,,pronoun,,
126,357846,,eller,,,conj,,
127,355399,,från,,,prep,,
128,354791,,mycket,,,adverb,,
129,342568,att,vilja,,,verb,,
130,339212,,all,,,pronoun,,
131,335401,att,göra,,,verb,e.g. göra om/upp,
132,299879,,om,,,subj,,
133,299166,,annan,,,pronoun,,
134,294294,,du,,تو,pronoun,,
135,292496,,någon,,,pronoun,,
136,281064,att,finna,,پیدا کردن,verb,,
137,279580,att,ta,,,verb,e.g. ta av/bort/med/upp/ut,
138,272112,,när,,,adverb,,
139,256885,att,se,,,verb,"e.g. se efter/upp/ut, se sig om",
140,252510,,måste,,,aux verb,,
141,250890,,detta,,,pronoun,,
142,233333,,stor,,,adjective,,
143,231774,,nu,,,adverb,,
144,228135,att,gå,,,verb,e.g. gå bort/fram/in/iväg/ner/omkring/runt/till/upp/ut/över,
145,227830,att,säga,,,verb,e.g. säga upp sig,
146,225895,,den,,او,pronoun,,
147,217882,,vad,,,pronoun,,
148,215091,ett,år,,,noun-ett,,
149,212944,att,äga,,,verb,e.g. äga rum,
150,211091,,under,,زیر,prep,,
151,206541,att,betyda,,,verb,,
152,204908,,också,,,adverb,,
153,204142,,där,,,adverb,,
154,203943,,då,,,adverb,,
155,200323,,min,,,pronoun,,
156,198742,,böra,,,aux verb,"(vanligast bör, borde)",
157,192701,,hur,,,adverb,,
158,184992,,mig,,من,pronoun,,
159,181540,,mot,,,prep,,
160,180370,,bara,,,adverb,,
161,172468,,vilken,,,pronoun,,
162,168895,,ut,,,adverb,,
163,164857,,ny,,,adjective,,
164,164052,,vid,,,prep,,
165,162897,,än,,,conj,,
166,162827,,bra,,,adjective,,
167,154006,,ingen,,,pronoun,,
168,152922,,dem (vardagl. dom),,,pronoun,,
169,150936,,efter,,,prep,,
170,150755,,upp,,,particle,,
171,147263,,hon,,,pronoun,,
172,146846,,lite,,,adverb,,
173,145920,,denna,,,pronoun,,
174,145309,,in,,,adverb,,
175,144974,,mycket,,,adjective,,
176,144462,,över,,,prep,,
177,137774,att,ge (formellt giva),,,verb,"e.g. ge upp/ut, ge sig, ge sig av",
178,137576,,vår (vardagl. våran),,,pronoun,,
179,137083,en,del,,,noun-en,,
180,136223,,här,,,adverb,,
181,135865,,även,,,adverb,,
182,130114,att,skriva,,,verb,e.g. skriva in/under/upp/ut,
183,128548,en,tid,,,noun-en,,
184,127635,,ju,,,adverb,,
185,127127,,sedan (vardagl. sen),,,adverb,,
186,127123,att,te sig,,,verb,,
187,124037,att,riva,,,verb,,
188,118500,att,börja,,,verb,,
189,117966,,hel,,,adjective,,
190,117835,en,dag,,,noun-en,e.g. god dag,
191,117787,,själv,,,pronoun,,
192,117461,en,människa,,,noun-en,,
193,108202,ett,land,,,noun-ett,,
194,108134,,svensk,,,adjective,,
195,107024,en,fråga,,,noun-en,,
196,106515,,oss,,,pronoun,,
197,105839,att,tro,,,verb,,
198,105549,,el,,,noun-en,,
199,105436,att,tycka,,,verb,"e.g. tycka om, tycka synd om",
200,105416,en,kommentar,,,noun-en,,
201,101954,att,veta,,,verb,,
202,98627,,idag (el. i dag),,,adverb,,
203,98011,att,försöka,,,verb,,
204,97833,att,behöva,,,verb,,
205,96233,,samma,,,pronoun,,
206,95934,,mellan,,,prep,,
207,95791,att,känna,,,verb,e.g. känna igen,
208,93830,att,läsa,,,verb,e.g. läsa igenom,
209,93029,att,ro,,,verb,,
210,92314,,kanske,,,adverb,,
211,92124,,lik,,,adjective,,
212,92020,att,låta,,,verb,,
213,90116,,olik,,,adjective,,
214,89945,,sådan,,,pronoun,,
215,89482,ett,sätt,,,noun-ett,,
216,88307,,hans,,,pronoun,,
217,87967,,din,,,pronoun,,
218,87029,en,gång,,,noun-en,e.g. på en gång,
219,86847,att,stå,,,verb,,
220,86431,,inom,,,prep,,
221,86350,att,visa,,,verb,e.g. visa sig,
222,85418,att,använda,,,verb,"e.g. använda ngt, använda sig av",
223,85418,att,vända,,,verb,e.g. vända sig,
224,84296,att,hålla,,,verb,e.g. hålla ut,
225,83648,,genom,,,prep,,
226,82272,,helt,,,adverb,e.g. helt och hållet,
227,81853,,fler,,,adjective,,
228,80660,,utan,,,prep,,
229,80458,,väl,,,adverb,,
230,79837,ett,barn,,,noun-ett,,
231,77547,,enligt,,,prep,,
232,76006,att,tänka,,,verb,e.g. tänka igenom,
233,75813,,ni,,,pronoun,,
234,75482,,viktig,,,adjective,,
235,75110,en,ring,,,noun-en,,
236,74330,,eftersom,,,subj,,
237,71213,ett,liv,,,noun-ett,,
238,71122,,deras,,,pronoun,,
239,70441,en,värld,,,noun-en,,
240,70067,,viss,,,adjective,,
241,70059,,dock,,,adverb,,
242,69824,,egen,,,adjective,,
243,69197,ett,folk,,,noun-ett,,
244,68786,en,regering,,,noun-en,,
245,68462,,fram,,,particle,,
246,68123,,honom,,,pronoun,,
247,67954,att,söka,,,verb,,
248,67354,,dig (vardagl. dej),,,pronoun,,
249,66887,,utan,,,conj,,
250,66294,en,sak,,,noun-en,,
251,65897,,hög,,,adjective,,
252,64848,,länge,,,adverb,,
253,64803,en,person,,,noun-en,,
254,64594,att,ligga,,,verb,,
255,63948,en,son,,,noun-en,,
256,63266,,både,,,conj,e.g. både…och,
257,62197,,just,,,adverb,,
258,62151,att,lägga,,,verb,"e.g. lägga fram/in/på/till/ut, lägga sig",
259,61888,ett,antal,,,noun-ett,,
260,60840,,redan,,,adverb,,
261,59408,en,kvinna,,,noun-en,,
262,59352,ett,problem,,,noun-ett,,
263,59290,ett,fall,,,noun-ett,,
264,59290,en,man,,,noun-en,,
265,58348,,aldrig,,,adverb,,
266,57206,,ofta,,,adverb,,
267,57195,,varje,,,det,,
268,57147,en,artikel,,,noun-en,,
269,57068,att,anse,,,verb,,
270,56559,att,öva,,,verb,,
271,55844,ett,lag,,,noun-ett,,
272,55587,ett,slag,,,noun-ett,,
273,55397,ett,tal,,,noun-ett,,
274,55241,,åt,,,prep,,
275,55018,,nog,,,adverb,,
276,54561,en,bok,,,noun-en,,
277,54247,,varför,,,adverb,,
278,54159,att,handla,,,verb,,
279,53625,,gammal,"gammal, äldre, äldst",پیر,adjective,,
280,53445,en,bild,,,noun-en,,
281,53135,en,sida,,,noun-en,,
282,53060,,så,,,subj,,
283,52764,att,öka,,,verb,,
284,52621,,därför,,,adverb,,
285,52337,,sen,,,adjective,,
286,51743,,god,,,adjective,,
287,51660,,hos,,,prep,,
288,50942,,alltid,,,adverb,,
289,50789,att,skapa,,,verb,,
290,50378,ett,arbete,,,noun-ett,,
291,49682,att,kapa,,,verb,,
292,49617,,samt,,,conj,,
293,49125,en,blogg,,,noun-en,,
294,48981,,innan,,,subj,,
295,48934,,som,,,adverb,,
296,48679,,ur,,,prep,,
297,48668,att,gälla,,,verb,,
298,48294,att,verka,,,verb,,
299,48235,att,tala,,صحبت کردن,verb,e.g. tala om ,
300,48149,att,bära,,,verb,,
301,48004,,för,,,adverb,,
302,47939,en,väg,,,noun-en,,
303,47925,ett,samhälle,,,noun-ett,,
304,47774,,alltså,,,adverb,,
305,47443,en,stat,,,noun-en,,
306,47158,en,stad,,,noun-en,e.g. i stan,
307,47058,att,höra,,,verb,,
308,47043,att,innebära,,,verb,,
309,47014,,genom att,,,subj,,
310,46990,ett,företag,,,noun-ett,,
311,46879,en,möjlighet,,,noun-en,,
312,46775,ett,ord,,,noun-ett,,
313,46653,,politisk,,,adjective,,
314,46025,att,välja,,,verb,,
315,46012,,er,,,pronoun,,
316,45957,att,förstå,,,verb,,
317,45947,ett,inlägg,,,noun-ett,,
318,45947,ett,ägg,,,noun-ett,,
319,45826,,te,,,noun-ett,,
320,45814,att,spela,,,verb,e.g. spela in/upp,
321,45637,,så att,,,subj,,
322,44946,,lika,,,adverb,,
323,44544,att,hitta,,,verb,e.g. hitta på,
324,44475,ett,tag,,,noun-ett,e.g. gripa tag i,
325,44448,att,dra,,,verb,"e.g. dra av/in/ner/ut, dra nytta",
326,44293,att,leda,,,verb,,
327,44150,,gärna,,,adverb,,
328,44018,,ändå,,,adverb,,
329,43926,ett,förslag,,,noun-ett,,
330,43793,att,lyckas,,,verb,,
331,43486,,dessutom,,,adverb,,
332,43429,ett,område,,,noun-ett,,
333,43416,en,lag,,,noun-en,,
334,43283,,svår,,,adjective,,
335,42940,att,lära,,,verb,,
336,42785,att,sätta,,,verb,e.g. sätta in/på,
337,42675,en,plats,,,noun-en,,
338,42409,,lång,,,adjective,,
339,42147,att,lämna,,,verb,e.g. lämna in/tillbaka/över,
340,41992,att,bygga,,,verb,,
341,41855,,politik,,,noun-en,,
342,41837,,tidigare,,,adverb,,
343,41695,att,kalla,,,verb,,
344,41622,en,peng,,,noun-en,,
345,41451,,väldigt,,,adverb,,
346,41446,att,leva,,,verb,,
347,41162,att,ställa,,,verb,e.g. ställa in/upp/ut,
348,41007,att,följa,,,verb,,
349,40780,en,vecka,,,noun-en,,
350,40260,,ja,,,interj,,
351,40106,att,ske,,,verb,,
352,39686,ett,parti,,,noun-ett,,
353,39616,att,kräva,,,verb,,
354,38967,,utveckling,,,noun-en,,
355,38925,,faktiskt,,,adverb,,
356,38813,att,ena,,,verb,,
357,38738,att,svara,,,verb,,
